id,x,y,z,side,classification,synthetic,coordinate_unit
P0001,-6.003,-0.558,-2.102,port,sample,true,fictional_unit
P0002,-5.988,0.555,-2.101,starboard,sample,true,fictional_unit
P0003,-6.007,-0.642,-1.846,port,sample,true,fictional_unit
P0004,-5.993,0.639,-1.834,starboard,sample,true,fictional_unit
P0005,-5.986,-0.695,-1.583,port,sample,true,fictional_unit
P0006,-5.99,0.702,-1.586,starboard,sample,true,fictional_unit
P0007,-5.995,-0.734,-1.32,port,sample,true,fictional_unit
P0008,-6.012,0.738,-1.309,starboard,sample,true,fictional_unit
P0009,-5.993,-0.783,-1.042,port,sample,true,fictional_unit
P0010,-5.994,0.775,-1.059,starboard,sample,true,fictional_unit
P0011,-5.991,-0.806,-0.777,port,sample,true,fictional_unit
P0012,-5.994,0.804,-0.777,starboard,sample,true,fictional_unit
P0013,-5.998,-0.81,-0.52,port,sample,true,fictional_unit
P0014,-6.006,0.826,-0.52,starboard,sample,true,fictional_unit
P0015,-5.988,-0.831,-0.27,port,sample,true,fictional_unit
P0016,-5.989,0.822,-0.271,starboard,sample,true,fictional_unit
P0017,-5.997,-0.834,0.003,port,sample,true,fictional_unit
P0018,-5.991,0.819,-0.007,starboard,sample,true,fictional_unit
P0019,-5.996,-0.822,0.26,port,sample,true,fictional_unit
P0020,-5.999,0.819,0.257,starboard,sample,true,fictional_unit
P0021,-5.993,-0.803,0.525,port,sample,true,fictional_unit
P0022,-6.003,0.801,0.514,starboard,sample,true,fictional_unit
P0023,-5.994,-0.775,0.796,port,sample,true,fictional_unit
P0024,-5.994,0.778,0.794,starboard,sample,true,fictional_unit
P0025,-6.005,-0.736,1.04,port,sample,true,fictional_unit
P0026,-6.004,0.751,1.046,starboard,sample,true,fictional_unit
P0027,-5.998,-0.697,1.308,port,sample,true,fictional_unit
P0028,-6.002,0.694,1.318,starboard,sample,true,fictional_unit
P0029,-5.989,-0.648,1.582,port,sample,true,fictional_unit
P0030,-6.005,0.644,1.584,starboard,sample,true,fictional_unit
P0031,-6.014,-0.577,1.833,port,sample,true,fictional_unit
P0032,-5.993,0.574,1.849,starboard,sample,true,fictional_unit
P0033,-6.006,-0.474,2.096,port,sample,true,fictional_unit
P0034,-5.988,0.479,2.112,starboard,sample,true,fictional_unit
P0035,-5.61,-0.809,-2.098,port,sample,true,fictional_unit
P0036,-5.608,0.806,-2.1,starboard,sample,true,fictional_unit
P0037,-5.605,-0.92,-1.845,port,sample,true,fictional_unit
P0038,-5.587,0.923,-1.829,starboard,sample,true,fictional_unit
P0039,-5.601,-0.999,-1.564,port,sample,true,fictional_unit
P0040,-5.588,1.002,-1.585,starboard,sample,true,fictional_unit
P0041,-5.611,-1.072,-1.303,port,sample,true,fictional_unit
P0042,-5.598,1.066,-1.324,starboard,sample,true,fictional_unit
P0043,-5.605,-1.112,-1.06,port,sample,true,fictional_unit
P0044,-5.599,1.125,-1.04,starboard,sample,true,fictional_unit
P0045,-5.608,-1.152,-0.797,port,sample,true,fictional_unit
P0046,-5.613,1.152,-0.782,starboard,sample,true,fictional_unit
P0047,-5.594,-1.183,-0.516,port,sample,true,fictional_unit
P0048,-5.611,1.174,-0.528,starboard,sample,true,fictional_unit
P0049,-5.587,-1.185,-0.257,port,sample,true,fictional_unit
P0050,-5.598,1.179,-0.274,starboard,sample,true,fictional_unit
P0051,-5.593,-1.188,0.01,port,sample,true,fictional_unit
P0052,-5.607,1.19,0.002,starboard,sample,true,fictional_unit
P0053,-5.597,-1.179,0.264,port,sample,true,fictional_unit
P0054,-5.606,1.184,0.269,starboard,sample,true,fictional_unit
P0055,-5.605,-1.144,0.529,port,sample,true,fictional_unit
P0056,-5.606,1.159,0.535,starboard,sample,true,fictional_unit
P0057,-5.611,-1.123,0.799,port,sample,true,fictional_unit
P0058,-5.604,1.115,0.792,starboard,sample,true,fictional_unit
P0059,-5.594,-1.078,1.049,port,sample,true,fictional_unit
P0060,-5.598,1.067,1.054,starboard,sample,true,fictional_unit
P0061,-5.614,-1.007,1.323,port,sample,true,fictional_unit
P0062,-5.592,1,1.318,starboard,sample,true,fictional_unit
P0063,-5.596,-0.918,1.584,port,sample,true,fictional_unit
P0064,-5.6,0.919,1.575,starboard,sample,true,fictional_unit
P0065,-5.587,-0.818,1.828,port,sample,true,fictional_unit
P0066,-5.611,0.818,1.832,starboard,sample,true,fictional_unit
